Dor,Objetivo,Responsável,Nível de Urgência,Andamento,Previsão de Entrega,Observações
Envio de documentos por whatsapp,Análise de sinistro,Marsh,Urgente,Backlog,30/01/2025,
Parada Técnica (Bloqueio) para afastamento de DIT,Análise de sinistro,iFood,Muito Urgente,Backlog,30/03/2025,
Disponibilizar número do sorteio da capitalização,Capitalização,iFood,Pouco Urgente,Backlog,30/03/2025,
Obrigatoriedade de rotas para coberturas de mulher,Melhoria contínua,Marsh,Urgente,Em pausa,02/06/2025,
Pagamentos complementares,Análise de sinistro,Metlife,Urgente,Concluído,02/06/2025,
Reanálise de sinistros encerrados,Análise de sinistro,Marsh/Metlife,Urgente,Concluído,02/06/2025,
Revisão da experiência no Portal de abertura do seguro,Melhoria contínua,Marsh,Urgente,Concluído,04/07/2025,
NPS Metlife,Melhoria contínua,Metlife,Urgente,Concluído,27/08/2025,
Carta de deferimento explicando valor pago,Melhoria contínua,Metlife,Urgente,Em andamento,31/07/2025,
Melhoria plataforma de atendimento,Melhoria contínua,Marsh,Muito Urgente,Em andamento,30/11/2025,
Revisão de Comunicações,Melhoria contínua,Metlife,Urgente,Concluído,20/08/2025,
Informações do sinistro por Whatsapp,Melhoria contínua,Metlife,Urgente,A iniciar,15/10/2025,
Dados bancários do entregador cadastrados no ifood,Análise de sinistro,iFood/Marsh/Metlife,Urgente,Backlog,30/08/2025,
OCR e Link para envio de documentação,Análise de sinistro,Marsh,Urgente,Em pausa,30/11/2025,
Acompanhar agendamento e status de perícia,Análise de sinistro,Marsh/Metlife,Urgente,A iniciar,17/11/2025,
Link para envio de docto complementar,Análise de sinistro,Marsh,Pouco Urgente,Backlog,30/09/2025,
Reanálise de sinistros encerrados IPA e MA,Análise de sinistro,Marsh/Metlife,Urgente,A iniciar,—,
Status do seguro app do entregador,Melhoria contínua,iFood/Marsh,Urgente,Backlog,30/09/2025,
Comunicação automática personalizada,Melhoria contínua,iFood,Urgente,Backlog,30/09/2025,
Disponibilidade de integração,Melhoria contínua,iFood,Urgente,Backlog,30/09/2025,
Aceite automático de compartilhamento de dados,Melhoria contínua,iFood,Urgente,Backlog,30/09/2025,
Utilização da Rede Credenciada e Reembolso,Melhoria contínua,Marsh/Metlife,Urgente,A iniciar,17/11/2025,
Funil de telas,Melhoria contínua,Marsh,Urgente,Backlog,—,
Melhoria Portal da Marsh,Melhoria contínua,Marsh,Pouco Urgente,Concluído,19/09/2025,
Mudança de plataforma de atendimento,Melhoria contínua,Marsh,Muito Urgente,Backlog,—,
Tabulação Indeferidos,Melhoria contínua,Metlife,Muito Urgente,A iniciar,30/09/2025,
Divergência API Marsh/Metlife,Melhoria contínua,Marsh/Metlife,Muito Urgente,Concluído,—,
Encerramento de sinistro >90dias,Análise de sinistro,Marsh/Metlife,Muito Urgente,A iniciar,—,
Pagamentos via PIX,Melhoria contínua,Metlife,Pouco Urgente,A iniciar,—,
Envio de link de documentação na abertura do sinistro,Melhoria contínua,Marsh,—,—,—,
